Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),LIVING_UNIT1:Zone People Occupant Count [](TimeStep),LIVING_UNIT1:Zone Mean Air Temperature [C](TimeStep),ATTIC_UNIT1:Zone Mean Air Temperature [C](TimeStep),LIVING_UNIT1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),ATTIC_UNIT1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),HTGSETP_SCH:Schedule Value [](TimeStep),CLGSETP_SCH:Schedule Value [](TimeStep),CENTRAL SYSTEM_UNIT1:Air System Total Cooling Energy [J](TimeStep) 
 07/03  08:30:00,26.15,0,21.14330708,28.01477281,20.32,0,15,20.32,8300278.146
 07/03  08:45:00,26.425,0,22.95715678,28.65286093,25.08,0,15,25.08,0
 07/03  09:00:00,26.7,0,23.66914834,29.78099475,25.44,0,15,25.44,0
 07/03  09:15:00,27.25,0,21.86239678,31.41348445,21.55,0,15,21.55,7129344.492
 07/03  09:30:00,27.8,0,23.65707573,33.54192579,26.35,0,15,26.35,0
 07/03  09:45:00,28.35,0,24.43411737,35.85617841,25.52,0,15,25.52,0
 07/03  10:00:00,28.9,0,23.20935309,37.97275046,23.12,0,15,23.12,5169640.687
 07/03  10:15:00,29.025,0,22.9529315,39.80038044,22.95,0,15,22.95,5964827.777
 07/03  10:30:00,29.15,0,22.40905659,41.42820147,22.38,0,15,22.38,7023544.672
 07/03  10:45:00,29.275,0,23.61658055,43.11320585,23.82,0,15,23.82,2388387.515
 07/03  11:00:00,29.4,0,25.02269329,44.51776286,26.34,0,15,26.34,0
 07/03  11:15:00,29.825,0,21.70807183,45.81842656,20.33,0,15,20.33,9801883.086
 07/03  11:30:00,30.25,0,24.06730254,47.20411511,27.57,0,15,27.57,0
 07/03  11:45:00,30.675,0,22.15204208,48.7038313,21.11,0,15,21.11,9138642.003
 07/03  12:00:00,31.1,0,23.79794627,49.95951504,24.89,0,15,24.89,418940.7198
 07/03  12:15:00,31.25,0,24.337531,50.97388952,24.45,0,15,24.45,1858206.542
 07/03  12:30:00,31.4,0,25.5901053,51.96642897,27.81,0,15,27.81,0
 07/03  12:45:00,31.55,0,26.96364456,52.96682493,27.28,0,15,27.28,139218.2259
 07/03  13:00:00,31.7,0,23.50339477,53.74615609,22.26,0,15,22.26,9672031.684
 07/03  13:15:00,31.975,0,23.67610765,54.18398301,23.69,0,15,23.69,5903239.27
 07/03  13:30:00,32.25,0,25.33542326,54.35124699,25.78,0,15,25.78,1308129.939
 07/03  13:45:00,32.525,0,25.69644984,54.12420904,25.7,0,15,25.7,2805295.727
 07/03  14:00:00,32.8,0,25.06464266,53.65716849,25.02,0,15,25.02,4977608.183
 07/03  14:15:00,32.8,0,25.62344888,53.13656609,25.64,0,15,25.64,3943312.785
 07/03  14:30:00,32.8,0,24.79252417,52.70783739,24.75,0,15,24.75,6612174.592
 07/03  14:45:00,32.8,0,23.88358541,52.13894464,23.74,0,15,23.74,8956388.254
 07/03  15:00:00,32.8,0,23.02525019,51.46682164,21.73,0,15,21.73,10937321.84
 07/03  15:15:00,32.925,0,22.29056005,50.48952429,20.2,0,15,20.2,10663493.45
 07/03  15:30:00,33.05,0,22.55493013,49.37877513,22.56,0,15,22.56,8123934.639
 07/03  15:45:00,33.175,0,24.41692795,48.3363182,24.71,0,15,24.71,3156981.781
 07/03  16:00:00,33.3,0,22.51438326,47.41025044,20.42,0,15,20.42,10634388.7
 07/03  16:15:00,32.9,0,25.42748975,46.64361999,27.34,0,15,27.34,0
 07/03  16:30:00,32.5,0,23.00029928,46.00376594,22.54,0,15,22.54,7678015.744
 07/03  16:45:00,32.1,0,23.47047422,45.34974729,23.49,0,15,23.49,7408916.818
 07/03  17:00:00,31.7,0,25.88140449,44.47036503,27.67,0,15,27.67,0
 07/03  17:15:00,31.7,0,23.49050796,43.51228082,23.11,0,15,23.11,6753848.196
 07/03  17:30:00,31.7,0,26.11347455,42.50812332,27.82,0,15,27.82,0
 07/03  17:45:00,31.7,0,22.92286278,41.52016245,21.86,0,15,21.86,9379171.547
 07/03  18:00:00,31.7,0,25.06456068,40.61420943,25.37,0,15,25.37,2579840.957
 07/03  18:15:00,31.275,0,22.7369389,39.57684352,21.8,0,15,21.8,10452466.43
 07/03  18:30:00,30.85,0,22.19588603,38.44248388,20.33,0,15,20.33,10825987.83
 07/03  18:45:00,30.425,0,23.03985497,37.04367712,23.12,0,15,23.12,5389929.047
 07/03  19:00:00,30,0,25.22970783,35.86242719,26.81,0,15,26.81,0
 07/03  19:15:00,29.85,0,22.85381567,34.66442459,22.51,0,15,22.51,6413136.465
 07/03  19:30:00,29.7,0,25.2143746,33.54490804,26.2,0,15,26.2,133801.4036
 07/03  19:45:00,29.55,0,25.57111675,32.47271334,25.68,0,15,25.68,1231018.525
 07/03  20:00:00,29.4,0,24.40998785,31.3139797,24.37,0,15,24.37,5342766.207
 07/03  20:15:00,29.125,0,25.85787193,30.4764533,26.51,0,15,26.51,350053.8279
 07/03  20:30:00,28.85,0,23.30321216,29.86313185,22.84,0,15,22.84,7161147.014
 07/03  20:45:00,28.575,0,22.09941309,29.2874132,20.56,0,15,20.56,11265234.94
 07/03  21:00:00,28.3,0,21.53067184,28.80217935,21.35,0,15,21.35,9949363.184
 07/03  21:15:00,28.175,0,23.86923836,28.35426355,26.14,0,15,26.14,0
 07/03  21:30:00,28.05,0,25.6547439,27.90000815,26.48,0,15,26.48,0
 07/03  21:45:00,27.925,0,25.66539803,27.66928966,25.95,0,15,25.95,0
 07/03  22:00:00,27.8,0,22.41996632,27.36472042,21.38,0,15,21.38,9206468.894
 07/03  22:15:00,27.65,0,24.35259069,27.11741289,25.36,0,15,25.36,0
 07/03  22:30:00,27.5,0,24.97823742,26.85764414,27.93,0,15,27.93,0
 07/03  22:45:00,27.35,0,25.26844859,26.64670447,27.62,0,15,27.62,0
